x1,x1_mean,condition,binchoice,bincorrect,x2,x2_mean,xavg,estim,binrt,subj,x1_relative,x2_relative
45.5,3,0,NaN,0,42.375,4,43.9375,51,3.68375602015313,1,-4.5,-7.625
55.25,2,1,1,1,55.375,2,55.3125,53,3.33365743642639,1,5.25,5.375
51.5,2,0,NaN,0,47.75,3,49.625,52,3.18366451263538,1,1.5,-2.25
53.125,2,-1,1,1,40.625,4,46.875,NaN,1.79865096788853,2,3.125,-9.375
55.25,2,-1,1,1,42.25,4,48.75,NaN,1.83628637262154,2,5.25,-7.75
50.75,2,-1,1,1,46.625,3,48.6875,NaN,1.34129103878513,2,0.75,-3.375
45.875,3,-1,-1,1,45.75,3,45.8125,NaN,0.819307021214627,2,-4.125,-4.25
47.75,3,-1,1,0,52.125,2,49.9375,NaN,1.59844641783275,2,-2.25,2.125
52.625,2,-1,1,1,58.375,1,55.5,NaN,1.58798526262399,2,2.625,8.375
50.625,2,-1,1,1,50.5,2,50.5625,NaN,0.730877866153605,2,0.625,0.5
53.625,2,-1,-1,0,46.5,3,50.0625,NaN,4.84404371597338,2,3.625,-3.5
47.375,3,-1,-1,1,58.25,1,52.8125,NaN,1.61582069972064,2,-2.625,8.25
52.125,2,-1,1,1,48.75,3,50.4375,NaN,1.3359406782547,2,2.125,-1.25
54.125,2,-1,-1,0,44.5,3,49.3125,NaN,3.15819588699378,2,4.125,-5.5
47.5,3,-1,1,0,41.5,4,44.5,NaN,2.47505221946631,2,-2.5,-8.5
